Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
mmu-miR-183-5p,1452,47,20,0.000155114781414387,2.89411319234634,Bach2;Tmsb4x;Pkp4;Idh2;Dusp10;Ypel5;Ick;Npc2;Dap;Hn1;Tsen54;Lck;Ern1;Arfgap2;Plag1;Srsf2;Tmpo;Pex19;Ppp2cb;Morc3
mmu-miR-6387,1452,23,12,0.000156070849921643,4.25034390029987,Mtss1;Stk39;Nfatc3;Eml4;Zfp36l2;Pdia4;Hspe1;Ppp2r5a;Ddx3x;Ss18;Slc38a2;Mmd
mmu-miR-101a-5p,1452,26,13,0.000174850732231895,3.8975396052049,Crim1;Rora;Cir1;Ipo7;Syt14;Trpv2;Mllt3;Rap1a;Wnk1;Tmem126a;Khdrbs1;Ripk1;Hist1h2bh
mmu-miR-376c-5p,1452,18,9,0.001108916387153,3.88950862390614,Adam12;Clic4;Eif4e3;Wee1;Cox10;Myo18a;Zfp281;Pde10a;Ift88
mmu-miR-376b-5p,1452,18,9,0.001108916387153,3.88950862390614,Adam12;Clic4;Eif4e3;Wee1;Cox10;Myo18a;Zfp281;Pde10a;Ift88
mmu-miR-152-3p,1452,47,18,0.00141902925963797,2.42092187127288,Bach2;Agfg1;Txnip;Gadd45a;Mgat5;Ypel3;D1Ertd622e;Edc3;Ppp1r9b;Syncrip;Npepl1;Tmem9b;Tomm70a;Dock6;Fubp1;Mtmr12;Stam;Ppp1r10
mmu-miR-148a-3p,1452,47,18,0.00141902925963797,2.42092187127288,Bach2;Agfg1;Txnip;Gadd45a;Mgat5;Ypel3;D1Ertd622e;Edc3;Ppp1r9b;Syncrip;Npepl1;Tmem9b;Tomm70a;Dock6;Fubp1;Mtmr12;Stam;Ppp1r10
mmu-miR-148b-3p,1452,47,18,0.00141902925963797,2.42092187127288,Bach2;Agfg1;Txnip;Gadd45a;Mgat5;Ypel3;D1Ertd622e;Edc3;Ppp1r9b;Syncrip;Npepl1;Tmem9b;Tomm70a;Dock6;Fubp1;Mtmr12;Stam;Ppp1r10
mmu-miR-3084-3p,1452,32,13,0.00246545320544682,2.66408107607475,Id2;Odc1;Irak1;9130401M01Rik;D1Ertd622e;Il2ra;Smarca2;Nedd4l;Dars2;Naa15;Sdc4;Klf7;Cops2
mmu-miR-802-5p,1452,49,18,0.00252238662706354,2.26396626842834,Rapgef4;Gnpnat1;Agfg1;Slc2a3;Traf3;Glul;D1Ertd622e;Atp6ap2;Dock4;Nmt2;Ccdc71l;Cse1l;Cap2;Khdrbs1;Zbtb42;Arpc2;Sdc4;Matr3
mmu-miR-24-3p,1452,46,17,0.00288647748104855,2.2848690562812,Nav2;Gpr174;Appl2;Dnmt3a;Cct3;Nfxl1;Slc19a2;B3gnt5;Rap1a;Kcna2;Wnt8b;9930012K11Rik;Per1;Matr3;Rap1b;2010107E04Rik;Cep95
mmu-miR-7651-5p,1452,9,5,0.00350101236603054,4.85253397283937,Cdca7l;Pdk3;Slc39a10;A630033H20Rik;Fam192a
mmu-miR-122-5p,1452,47,17,0.00379730741157926,2.20833851432285,Bach2;H1f0;Ms4a6c;Sh2d1a;Slc2a3;Aldoa;Gm614;Pkm;Maf1;Evi5l;Aldh18a1;Obfc1;Gys1;Khdrbs1;P4ha1;Spef1;G6pc3
mmu-miR-210-3p,1452,30,12,0.00386772298310706,2.59449743620238,B4galt5;Mef2a;Ndufa4;Tet2;Zadh2;Dennd6a;Pptc7;Atg7;Adcy9;Tmem151b;2310061I04Rik;Ccdc97
mmu-miR-301a-5p,1452,18,8,0.0050442380937858,3.10896715063056,Ptprf;Rras2;Traf3;Slc38a9;Xpo6;Emc3;Snrnp27;Spcs2
mmu-miR-6952-3p,1452,18,8,0.0050442380937858,3.10896715063056,Ptprf;Rras2;Traf3;Slc38a9;Xpo6;Emc3;Snrnp27;Spcs2
mmu-miR-301b-5p,1452,18,8,0.0050442380937858,3.10896715063056,Ptprf;Rras2;Traf3;Slc38a9;Xpo6;Emc3;Snrnp27;Spcs2
mmu-miR-654-3p,1452,18,8,0.0050442380937858,3.10896715063056,Mr1;Pacsin1;Cenpi;Mcmbp;Ccdc93;Rnf145;Klf12;Ccdc14
mmu-miR-204-5p,1452,46,16,0.00734795732892337,2.07704958543207,Slc43a1;Myo10;Ephb6;Ssrp1;Chn2;Ick;Fry;Ezr;St7;Rnf103;Tomm70a;Spop;Kcna2;Plag1;Baz2a;Cox5a
mmu-miR-543-3p,1452,46,16,0.00734795732892337,2.07704958543207,Bach2;Sh2d3c;Nck2;Cblb;Fkbp4;Chn2;Ick;Fam117a;Syncrip;Dnajb5;Rraga;Tnfsf11;Plag1;Srsf2;Gid4;Metap1
mmu-miR-7220-3p,1452,46,16,0.00734795732892337,2.07704958543207,S1pr1;Bin1;Ssh2;Tusc3;Ccdc117;Map2k6;Pgk1;Tom1l1;Dnajb5;Kcna2;Cyld;Foxk2;Matr3;Thumpd1;Pja1;Slc25a3
mmu-miR-324-5p,1452,46,16,0.00734795732892337,2.07704958543207,Timeless;Ccne1;Rab37;Ran;Mafb;Htt;Wdfy2;Psme3;Tmcc1;Rap1a;Tollip;Znrf2;Rnf214;Klf7;Zfx;Slco3a1
mmu-miR-126a-3p.2,1452,39,14,0.00758640266599129,2.17976392364084,Slc7a11;Chdh;Smurf2;Ankrd44;Lrrc1;Ppm1b;Tead1;Tom1l1;Pik3r1;Psd3;Rfc1;Strbp;Lpp;Tax1bp1
mmu-miR-107-3p,1452,47,16,0.00935999228208498,2.00972973893973,Bach2;Agfg1;Spats2l;9130401M01Rik;Slamf1;Actr2;Snrk;Mcm7;Kcna2;Micall1;Znrf2;Plag1;Fubp1;Rbm24;Baz2a;Ppp6r2
mmu-miR-103-3p,1452,47,16,0.00935999228208498,2.00972973893973,Bach2;Agfg1;Spats2l;9130401M01Rik;Slamf1;Actr2;Snrk;Mcm7;Kcna2;Micall1;Znrf2;Plag1;Fubp1;Rbm24;Baz2a;Ppp6r2
mmu-miR-302a-3p,1452,47,16,0.00935999228208498,2.00972973893973,Tgfbr2;Parp8;Ostm1;Txnip;Chn2;Mgat5;Wdr45;Hn1;Rnf103;Wdr1;Plag1;Mknk2;Suv420h1;Fbxl3;Tax1bp1;Ncoa7
mmu-miR-302d-3p,1452,47,16,0.00935999228208498,2.00972973893973,Tgfbr2;Parp8;Ostm1;Txnip;Chn2;Mgat5;Wdr45;Hn1;Rnf103;Wdr1;Plag1;Mknk2;Suv420h1;Fbxl3;Tax1bp1;Ncoa7
mmu-miR-382-5p,1452,47,16,0.00935999228208498,2.00972973893973,Ppp3cc;Ccnyl1;Agfg1;Spcs3;Ick;Ybx1;Ddx3x;Paip2;Akirin1;Gmcl1;Mtmr1;Fbxo28;Matr3;Nkap;Spcs2;Gmfb
mmu-miR-221-5p,1452,26,10,0.00952433281225993,2.42984106162006,Tapt1;Usp3;Rragd;Trp53i11;Ralgps2;Ski;Ppp1r1b;Atg13;Anks1;Zfp652
mmu-miR-1258-5p,1452,20,8,0.0117332492725946,2.59005071133514,Ptpn6;Idh2;Mrrf;Traf3;Tgfb1;Fam173b;Pex19;Arhgef2
mmu-miR-145a-5p,1452,48,16,0.0117876348921634,1.94662275718374,Bach2;Add3;Hs6st1;Cited2;Ssh2;Fkbp3;Ndufa4;Carf;Naa25;Tmem9b;Abracl;Ern1;Spop;Mtx3;Ddc;Abhd17c
mmu-miR-145b,1452,48,16,0.0117876348921634,1.94662275718374,Bach2;Add3;Hs6st1;Cited2;Ssh2;Fkbp3;Ndufa4;Carf;Naa25;Tmem9b;Abracl;Ern1;Spop;Mtx3;Ddc;Abhd17c
mmu-miR-340-5p,1452,48,16,0.0117876348921634,1.94662275718374,Nck2;Gen1;Dscc1;Hspe1;Ranbp1;Slc5a3;Ppm1b;Syncrip;Ern1;Rap1a;Mylip;Creld2;Gmcl1;Baz2a;Casd1;Tax1bp1
mmu-miR-134-5p,1452,48,16,0.0117876348921634,1.94662275718374,A230050P20Rik;Trp53i11;Cep41;Mbnl1;Lin7c;4930523C07Rik;Actr2;Rnf103;1600012H06Rik;Rab27a;Zc3h12b;Patz1;Ttc33;Vezf1;Fam192a;Ppp1r7
mmu-miR-22-3p,1452,48,16,0.0117876348921634,1.94662275718374,Clic4;Vasp;Cyth3;Mgat5;Rgs2;Lin7c;Edc3;4930523C07Rik;Pdss1;Snrk;Dnajb5;Prcp;Fam49b;Arpc5;Styx;Frat2
mmu-miR-484,1452,17,7,0.0126941328517624,2.71859170723008,Ptpre;Nme2;Htt;Mycbp2;Mgat5;Cbfa2t2;Mmp14
mmu-miR-211-5p,1452,45,15,0.0137709591845186,1.94596476282469,Slc43a1;Myo10;Ephb6;Ssrp1;Chn2;Ick;Fry;Ezr;St7;Rnf103;Tomm70a;Spop;Kcna2;Baz2a;Cox5a
mmu-miR-128-3p,1452,45,15,0.0137709591845186,1.94596476282469,Tmsb10;Mdn1;Nav2;Sh2d3c;Cited2;Gltp;Traf3;Gusb;Ypel3;Slc5a3;Paip2;Rnf103;Rab27a;Gpd2;Mtmr12
mmu-miR-582-5p,1452,45,15,0.0137709591845186,1.94596476282469,Ndfip1;Cd24a;Pdcl;Rasl11b;Naa25;Cd81;Nae1;Paxbp1;Pptc7;Rnf103;Idh3a;Zc3h12b;Pef1;Faim;Pex5
mmu-miR-291a-3p,1452,46,15,0.0171965601741694,1.88269039243025,Tgfbr2;Parp8;Ostm1;Txnip;Chn2;Mgat5;Wdr45;Hn1;Wdr1;Plag1;Mknk2;Suv420h1;Fbxl3;Tax1bp1;Ncoa7
mmu-miR-295-3p,1452,46,15,0.0171965601741694,1.88269039243025,Tgfbr2;Parp8;Ostm1;Txnip;Chn2;Mgat5;Wdr45;Hn1;Wdr1;Plag1;Mknk2;Suv420h1;Fbxl3;Tax1bp1;Ncoa7
mmu-miR-302b-3p,1452,46,15,0.0171965601741694,1.88269039243025,Tgfbr2;Parp8;Ostm1;Txnip;Chn2;Mgat5;Wdr45;Hn1;Rnf103;Plag1;Mknk2;Suv420h1;Fbxl3;Tax1bp1;Ncoa7
mmu-miR-3544-5p,1452,18,7,0.0188140486581437,2.47107554999162,Polq;Itpr2;Dctd;Mat2a;Eif3a;Trp53inp2;Mgat4a
mmu-miR-322-3p,1452,32,11,0.0200895435948772,2.03617761877759,Chd7;Marcks;Ipo7;Pik3ca;Fgf13;Paip2;Zfand4;Clasp1;Zmiz1;Ankrd12;Ywhag
mmu-miR-294-3p,1452,47,15,0.0212412403765355,1.82359065801958,Tgfbr2;Parp8;Ostm1;Txnip;Chn2;Mgat5;Wdr45;Hn1;Wdr1;Plag1;Mknk2;Suv420h1;Fbxl3;Tax1bp1;Ncoa7
mmu-miR-7047-5p,1452,9,4,0.0217521976704242,3.10314763451683,Magi3;Atp5g1;Ankrd52;Rpp40
mmu-miR-3103-5p,1452,9,4,0.0217521976704242,3.10314763451683,Magi3;Atp5g1;Ankrd52;Rpp40
mmu-miR-7235-5p,1452,9,4,0.0217521976704242,3.10314763451683,Magi3;Atp5g1;Ankrd52;Rpp40
mmu-miR-6965-5p,1452,9,4,0.0217521976704242,3.10314763451683,Magi3;Atp5g1;Ankrd52;Rpp40
mmu-miR-6388,1452,12,5,0.0218520312070132,2.77156160130539,Pou6f1;Tsr1;Rora;Ptpn14;Foxp1
mmu-miR-1199-5p,1452,12,5,0.0218520312070132,2.77156160130539,Dgke;Slfn5;Gpr171;Cdk17;Entpd5
mmu-miR-34c-5p,1452,44,14,0.0249432973692762,1.8148821014517,Ptms;Pkp4;Ldha;Snx15;Eno3;Evi5l;Golph3l;Coq2;Sfmbt2;Ddx17;Limd2;Thumpd1;E2f5;Ppp1r10
mmu-miR-6516-5p,1452,33,11,0.0258314637365042,1.9431114666148,Ets2;Chek1;Chdh;Agfg1;Kctd2;Sav1;Traf3;Birc5;Eif4g3;Camk1d;Plagl1
mmu-miR-320-3p,1452,48,15,0.0259680431187215,1.76803626858772,Ctsl;Myo10;Btg2;Igfbp4;Smarcd2;Edc3;Rnf103;Tomm70a;Rap1a;Rab27a;Zc3h15;Suv420h1;Fkbp1a;Tax1bp1;Cops2
mmu-miR-539-3p,1452,48,15,0.0259680431187215,1.76803626858772,Id2;Rsrp1;Cnot2;Ssh2;Cdk1;Tusc3;Slamf1;Naa25;Zcchc11;Fam117a;Fam107b;Snrk;Nfkbia;Srsf5;Msx2
mmu-miR-299a-5p,1452,48,15,0.0259680431187215,1.76803626858772,Tspan2;Nfkb1;Slc14a1;Tdgf1;Cep55;Tiparp;Fam3c;Scfd2;Naa25;Golph3l;Far1;Mat2a;Denr;Ppp2r5a;Sirt4
mmu-miR-151-5p,1452,19,7,0.0267793129808913,2.26480274362267,Ecm1;Dyrk1b;Ppp1r3b;N4bp1;Strbp;Fam160a2;A930016O22Rik
mmu-miR-504-5p,1452,41,13,0.0293288860992353,1.80501924809185,Crtam;Trp53inp1;Bora;Nlrc3;Cep170;Tnfaip3;Polr3e;Elovl6;0610007P14Rik;Nfya;Ppargc1b;Pla2g2f;Rnf114
mmu-miR-370-3p,1452,41,13,0.0293288860992353,1.80501924809185,Prkch;Igfbp4;Snrpd3;Naa25;Dnmt3a;Raver2;Gm3086;Cdkn2aipnl;Zbtb42;Baz2a;Zc3h15;Ocel1;A930016O22Rik
mmu-miR-338-5p,1452,30,10,0.0302907974818471,1.94245819663412,Klf2;Hspa5;Paip2;Bahcc1;Cramp1l;Cdk17;Kdm4b;Golga2;Sp2;Eid1
mmu-miR-144-3p,1452,45,14,0.030529466461655,1.75603811004667,Bach2;Smoc1;Pdcl;Gpr183;Chn2;Uchl3;Atp5g2;Ssb;Dnajc2;Syncrip;Tomm70a;Rap1a;Suv420h1;Pknox1
mmu-miR-873a-5p.1,1452,45,14,0.030529466461655,1.75603811004667,S1pr1;Ssh2;Tusc3;Ccdc117;Map2k6;Pgk1;Tom1l1;Dnajb5;Kcna2;Cyld;Matr3;Thumpd1;Pja1;Slc25a3
mmu-miR-6335,1452,23,8,0.0317044160805474,2.07108677676416,Bach2;Trps1;Zcchc24;Sptbn1;Tshz1;Ago2;Naa15;Zfp703
mmu-miR-7035-5p,1452,13,5,0.0336697523203325,2.42490092317384,Nr4a3;Nav2;Pip4k2a;Parpbp;Rreb1
mmu-miR-6972-5p,1452,10,4,0.0362658419140398,2.58565861748143,Cd226;Ccne1;Treml2;Syt14
mmu-miR-3475-3p,1452,10,4,0.0362658419140398,2.58565861748143,Cd226;Ccne1;Treml2;Syt14
mmu-miR-380-5p,1452,10,4,0.0362658419140398,2.58565861748143,Ccr7;S1pr1;Prc1;Serac1
mmu-miR-147-3p,1452,20,7,0.0368100221197559,2.09028839427033,B4galt5;Arsi;Mef2a;Hipk2;Agpat3;Ndufa4;Pptc7
mmu-miR-1306-5p,1452,46,14,0.0369808727297933,1.70086700585237,Ccnd3;Ppp3cc;Igfbp4;Tkt;Cnot2;Trmt61a;Dnmt3a;Gnl1;Nasp;Ppp1r9b;Fam118a;Gm9821;Leng9;Ankrd54
mmu-miR-369-3p,1452,46,14,0.0369808727297933,1.70086700585237,Desi1;Nck2;Plk4;9130401M01Rik;Uchl3;Ick;Kif20a;Rap1a;Arl2bp;Dnajb5;Zc3h12b;Ttc33;Mtmr12;Rap1b
mmu-miR-335-5p,1452,46,14,0.0369808727297933,1.70086700585237,Ndfip1;Chfr;Naa25;Sephs1;Dock4;Fam107b;Ehd1;Cln8;Nop16;Sirt4;Tpst1;Asah2;Kdm4c;Zfp286
mmu-miR-365-3p,1452,50,15,0.0377108031931462,1.66642601981747,Rapgef4;Myzap;Arrb2;E2f2;Fam3c;Ssh2;Traf3;Tcp11l2;Usp33;Plk3;Snrk;Mylip;Rqcd1;Oxr1;Tfdp1
mmu-miR-759,1452,24,8,0.0417578843798825,1.94115437853466,Chd7;Nme2;Gria3;Traf3;Megf9;Tmc6;A630033H20Rik;Aqp1
mmu-miR-34a-5p,1452,43,13,0.043565921067839,1.68410255864297,Ptms;Pkp4;Ldha;Snx15;Eno3;Evi5l;Golph3l;Coq2;Sfmbt2;Limd2;Thumpd1;E2f5;Ppp1r10
mmu-miR-3473g,1452,43,13,0.043565921067839,1.68410255864297,Nabp1;Crim1;Map3k3;Kpna3;Tmcc1;Rbms1;Sox4;Rbmx;Hipk3;Fubp1;Mllt4;Vezf1;Nudcd2
mmu-miR-138-5p,1452,47,14,0.0443588253953829,1.64903914198271,Nav2;St6galnac4;Ahcyl2;Gng2;Tiparp;Mcu;Dnmt3a;Kcna2;Obfc1;Rqcd1;Suv420h1;Trp53bp2;Eid1;Hmgxb4
mmu-miR-92a-3p,1452,47,14,0.0443588253953829,1.64903914198271,Klf2;Myo10;Pgam1;Bcat2;Traf3;Tob1;Sfmbt2;Fry;Anp32e;Rnf103;Mylip;Kcna2;Suv420h1;Morc3
mmu-miR-367-3p,1452,47,14,0.0443588253953829,1.64903914198271,Klf2;Pgam1;Cd69;Bcat2;Tob1;Sfmbt2;Fry;Anp32e;Rnf103;Mylip;Kcna2;Fubp1;Suv420h1;Morc3
mmu-miR-449b,1452,44,13,0.0522564787938349,1.62949615733031,Ptms;Pkp4;Ldha;Snx15;Eno3;Evi5l;Golph3l;Coq2;Sfmbt2;Limd2;Thumpd1;E2f5;Ppp1r10
mmu-miR-34b-5p,1452,44,13,0.0522564787938349,1.62949615733031,Ptms;Pkp4;Ldha;Snx15;Eno3;Evi5l;Golph3l;Coq2;Sfmbt2;Limd2;Thumpd1;E2f5;Ppp1r10
mmu-miR-483-3p.2,1452,48,14,0.0527182718847744,1.60026193121881,Arrb2;Rnf149;Pgam1;Ick;Raver2;Mxd4;Kpnb1;Tacc2;Rnf5;Rbak;Cnot6l;Kctd18;Aqp1;Cops2
mmu-miR-664-3p,1452,48,14,0.0527182718847744,1.60026193121881,Cd226;Mpp6;Mrrf;Chmp5;Rad18;Ybx1;Rsu1;Ncapd2;Il17rb;Stt3a;Hsd17b4;Rb1cc1;Dbf4;March2
mmu-let-7f-1-3p,1452,48,14,0.0527182718847744,1.60026193121881,Fam65b;Ptms;Klhdc2;Tob1;Ier5;Slamf1;Ick;Raver2;Nasp;Dock11;Plag1;Srsf2;Rap1b;Hmgxb4
mmu-let-7b-3p,1452,48,14,0.0527182718847744,1.60026193121881,Fam65b;Ptms;Klhdc2;Tob1;Ier5;Slamf1;Ick;Raver2;Nasp;Dock11;Plag1;Srsf2;Rap1b;Hmgxb4
mmu-miR-450a-5p,1452,11,4,0.0555009571206055,2.21597648589827,Slc43a1;Dusp10;Khdrbs1;Zfp385a
mmu-miR-27b-5p,1452,11,4,0.0555009571206055,2.21597648589827,Cd160;Cnot6;Cyb5d1;Gmcl1
mmu-miR-873b,1452,11,4,0.0555009571206055,2.21597648589827,Tspan14;Nup153;Mettl4;Arhgef2
mmu-miR-150-3p,1452,11,4,0.0555009571206055,2.21597648589827,Dyrk1b;Arhgap24;Emc3;Arhgef2
mmu-miR-148a-5p,1452,18,6,0.0577143049388566,1.93985417702746,Bcl6;Hspa5;Usp3;Ipo7;Nbr1;Suv420h1
mmu-miR-148b-5p,1452,18,6,0.0577143049388566,1.93985417702746,Bcl6;Hspa5;Usp3;Ipo7;Nbr1;Suv420h1
mmu-miR-1224-5p,1452,45,13,0.0620686779115936,1.57830115958237,Dirc2;Klf3;Mlec;Cdk6;Chp1;Ppp1r9b;4930523C07Rik;Sestd1;Gabarapl2;Gtdc1;Cbx3;Metap1;Med20
mmu-miR-301a-3p,1452,49,14,0.0621064581329162,1.55427013984499,Pmepa1;Lonrf1;Hprt;Agfg1;Slc12a7;Psap;Tbc1d8;Syncrip;Rab5a;Casd1;Suv420h1;Mtmr12;Tax1bp1;Sh3d19
mmu-miR-301b-3p,1452,49,14,0.0621064581329162,1.55427013984499,Pmepa1;Lonrf1;Hprt;Agfg1;Slc12a7;Psap;Tbc1d8;Syncrip;Rab5a;Casd1;Suv420h1;Mtmr12;Tax1bp1;Sh3d19
mmu-miR-451a,1452,22,7,0.0637246460186319,1.81093919863985,Cep55;Cir1;Cox10;Rnf103;Psmb8;Dars2;Matr3
mmu-miR-7065-3p,1452,30,9,0.0704297121507736,1.66365497787796,Nabp1;Igfbp4;Slc16a10;Map3k5;Adck3;Matr3;Plbd2;Fbxl3;Rab8a
mmu-miR-429-3p,1452,46,13,0.0730445926786312,1.53020857997788,Rab37;Agfg1;Cited2;Ssh2;Ppp1r9b;Ppm1b;Syncrip;Dnajb5;Rqcd1;Fubp1;Matr3;Gjc1;Ppp1r10
mmu-miR-200c-3p,1452,46,13,0.0730445926786312,1.53020857997788,Rab37;Agfg1;Cited2;Ssh2;Ppp1r9b;Ppm1b;Syncrip;Dnajb5;Rqcd1;Fubp1;Matr3;Gjc1;Ppp1r10
mmu-miR-200b-3p,1452,46,13,0.0730445926786312,1.53020857997788,Rab37;Agfg1;Cited2;Ssh2;Ppp1r9b;Ppm1b;Syncrip;Dnajb5;Rqcd1;Fubp1;Matr3;Gjc1;Ppp1r10
mmu-miR-30a-3p,1452,46,13,0.0730445926786312,1.53020857997788,Ipo5;Dnajb4;Ypel5;Naa25;D1Ertd622e;Myo5a;Rnf103;Ralb;Cap2;Foxk2;Memo1;Dbf4;Cep162
mmu-miR-30d-3p,1452,46,13,0.0730445926786312,1.53020857997788,Ipo5;Dnajb4;Ypel5;Naa25;D1Ertd622e;Myo5a;Rnf103;Ralb;Cap2;Foxk2;Memo1;Dbf4;Cep162
mmu-miR-1197-3p,1452,46,13,0.0730445926786312,1.53020857997788,Tubb2b;Fchsd2;Cbl;Ssh2;Cirh1a;Tspan3;Pradc1;Arl6ip5;Arfgap2;Aftph;Asah2;Cbx3;Nnat
mmu-miR-374c-3p,1452,23,7,0.0808021019856102,1.69747177342858,Ccnd2;Pou6f1;Prdm11;Kctd1;Hmgb2;Naa15;Rap1b
mmu-miR-693-3p,1452,23,7,0.0808021019856102,1.69747177342858,Plekha1;Nav2;Polr1a;Agfg1;Dpysl2;Fry;Prickle1
mmu-miR-323-3p,1452,47,13,0.0852143121321305,1.48494468464949,Dnajc6;Carf;Psme3;Dock4;Syncrip;Snrk;Mylip;Cep70;Aftph;Nlk;Fubp1;Anxa7;Mtch2
mmu-miR-22-5p,1452,47,13,0.0852143121321305,1.48494468464949,Pou6f1;Ap1s3;Hsdl1;Rad54b;Panx1;Stk25;Rap1a;Txn2;Rnf14;Plag1;Map2k1;Rap1b;Arhgef2
mmu-miR-92b-3p,1452,47,13,0.0852143121321305,1.48494468464949,Klf2;Myo10;Pgam1;Bcat2;Tob1;Sfmbt2;Fry;Anp32e;Rnf103;Mylip;Kcna2;Suv420h1;Morc3
mmu-miR-32-5p,1452,47,13,0.0852143121321305,1.48494468464949,Klf2;Myo10;Pgam1;Bcat2;Traf3;Tob1;Sfmbt2;Fry;Anp32e;Mylip;Kcna2;Suv420h1;Morc3
mmu-miR-26a-5p,1452,43,12,0.0860343032285086,1.50312744973324,Mdn1;Ssh2;Tob1;Dnmt3a;Cks2;Zfp266;Sfmbt2;Slc19a2;Rap1a;Faim;Mknk2;Stradb
mmu-miR-26b-5p,1452,43,12,0.0860343032285086,1.50312744973324,Mdn1;Ssh2;Tob1;Dnmt3a;Cks2;Zfp266;Sfmbt2;Slc19a2;Rap1a;Faim;Mknk2;Stradb
mmu-miR-449c-5p,1452,43,12,0.0860343032285086,1.50312744973324,Ptms;Pkp4;Ldha;Eno3;Evi5l;Golph3l;Coq2;Sfmbt2;Limd2;Thumpd1;E2f5;Ppp1r10
mmu-miR-6951-5p,1452,43,12,0.0860343032285086,1.50312744973324,Esrp2;Ipo5;Vamp1;Usp12;Shmt1;Bcl9l;Bahcc1;Kctd1;Nup153;Znrf3;Atg13;Plekhm3
mmu-miR-7213-5p,1452,16,5,0.0903652147748849,1.76272849811672,Rarg;Tgfb1;Alyref;Plec;Atp6v1g1
mmu-miR-7052-3p,1452,9,3,0.0925763760028744,1.93791062309601,Cd72;Agpat3;Cox5a
mmu-miR-30c-2-3p,1452,9,3,0.0925763760028744,1.93791062309601,Dyrk1b;Wee1;Ssr2
mmu-miR-6958-5p,1452,9,3,0.0925763760028744,1.93791062309601,Dyrk1b;Wee1;Ssr2
mmu-miR-30c-1-3p,1452,9,3,0.0925763760028744,1.93791062309601,Dyrk1b;Wee1;Ssr2
mmu-miR-501-5p,1452,9,3,0.0925763760028744,1.93791062309601,Dnajc15;Sephs1;Lpin1
mmu-miR-881-3p,1452,20,6,0.0967326294960331,1.66227807957087,Rgs3;Idh2;4930523C07Rik;Slc43a2;Elf4;Acp2
mmu-miR-1982-5p,1452,20,6,0.0967326294960331,1.66227807957087,Vamp1;Arid2;Coro2b;Ctdsp2;Klf13;Plec
mmu-miR-96-5p,1452,48,13,0.0985950345869241,1.4422670184845,Bach2;Tes;Chst10;Cpm;Evi5l;Kpnb1;Ppp1r9b;Arpc5l;Rab27a;Rqcd1;Arfgap2;Mtmr12;Nkap
mmu-miR-135a-5p,1452,48,13,0.0985950345869241,1.4422670184845,Sh2d3c;Txnip;Pdcl;Camk1g;Ick;Syncrip;Snrk;1600012H06Rik;Mtmr12;4921507P07Rik;Anxa7;Fkbp1a;Ssr2
mmu-miR-135b-5p,1452,48,13,0.0985950345869241,1.4422670184845,Sh2d3c;Txnip;Pdcl;Camk1g;Ick;Syncrip;Snrk;1600012H06Rik;Mtmr12;4921507P07Rik;Anxa7;Fkbp1a;Ssr2
mmu-miR-3059-5p,1452,48,13,0.0985950345869241,1.4422670184845,Slc43a1;Relb;Rarg;Dhfr;Mrrf;Traf3;1700025G04Rik;Emc3;Atp8b2;Rab33b;Sdc3;Strbp;Arhgef2
mmu-miR-381-3p,1452,48,13,0.0985950345869241,1.4422670184845,Id2;Rsrp1;Cnot2;Ssh2;Cdk1;Tusc3;Slamf1;Zcchc11;Fam117a;Fam107b;Snrk;Nfkbia;Srsf5
mmu-miR-98-3p,1452,48,13,0.0985950345869241,1.4422670184845,Fam65b;Ptms;Klhdc2;Tob1;Ier5;Slamf1;Ick;Raver2;Nasp;Dock11;Fam107b;Plag1;Hmgxb4
mmu-let-7c-2-3p,1452,48,13,0.0985950345869241,1.4422670184845,Fam65b;Ptms;Klhdc2;Tob1;Ier5;Slamf1;Ick;Raver2;Nasp;Dock11;Plag1;Srsf2;Hmgxb4
mmu-let-7a-1-3p,1452,48,13,0.0985950345869241,1.4422670184845,Fam65b;Ptms;Klhdc2;Tob1;Ier5;Slamf1;Ick;Raver2;Nasp;Dock11;Plag1;Srsf2;Hmgxb4
mmu-miR-195a-3p,1452,44,12,0.100199197346275,1.45590254675067,Kit;Nme2;Ptpn12;Bcor;Dsn1;D1Ertd622e;Papd7;Pcgf3;Jade2;Tox3;Cyp26b1;Aebp2
mmu-miR-184-3p,1452,24,7,0.100324210788474,1.59735411091996,Mlec;Slc25a22;Nol4l;Lrrc8a;Ago2;Prr14;Fbxo28
mmu-miR-8095,1452,13,4,0.108202249127624,1.72298701003153,Gltp;Sgtb;Naa40;Kpna1
mmu-miR-6930-3p,1452,13,4,0.108202249127624,1.72298701003153,S1pr1;Atp5d;Adck3;Sbk1
mmu-miR-182-3p,1452,13,4,0.108202249127624,1.72298701003153,Nap1l1;Fam107b;Ago2;Naa15
mmu-miR-7017-3p,1452,13,4,0.108202249127624,1.72298701003153,Slc7a11;Ifngr2;Snrk;Serbp1
mmu-miR-19a-3p,1452,49,13,0.113190465168528,1.40196006355153,Pmepa1;Id2;Evi5l;Fam162a;Syncrip;Rap1a;Mylip;Fam114a1;Cse1l;Zc3h12b;Aftph;Pknox1;Kif3a
